	City	iso_code	Timezone
919	Leicester	GB	0
920	Golouchestershire	GB	0
921	Halfpenny Green	GB	0
922	Pailton	GB	0
923	Turweston	GB	0
924	Wellesbourne	GB	0
925	Manchester	GB	0
926	Woodfort	GB	0
927	Chivenor	GB	0
928	Newquai	GB	0
929	Lyneham	GB	0
930	Boscombe Down	GB	0
931	Culdrose	GB	0
932	St. Athan	GB	0
933	Yeovilton	GB	0
934	Haverfordwest	GB	0
935	Cardiff	GB	0
936	Swansea	GB	0
937	Bristol	GB	0
938	Liverpool	GB	0
940	Plymouth	GB	0
941	Bournemouth	GB	0
942	Southampton	GB	0
943	Lasham	GB	0
944	Shoreham By Sea	GB	0
945	Biggin Hill	GB	0
948	Farnborough	GB	0
949	Chalsgrove	GB	0
950	Blackbushe	GB	0
952	Southend	GB	0
953	Lydd	GB	0
954	Manston	GB	0
955	Brough	GB	0
956	Carlisle	GB	0
957	Repton	GB	0
958	Blackpool	GB	0
959	Humberside	GB	0
960	Barrow Island	GB	0
961	Leeds	GB	0
962	Warton	GB	0
963	Hawarden	GB	0
964	Newcastle	GB	0
965	Teesside	GB	0
966	East Midlands	GB	0
967	Llanbedr	GB	0
968	Ternhill	GB	0
969	Shawbury	GB	0
970	Woodvale	GB	0
971	Kirkwall	GB	0
972	Sumburgh	GB	0
973	Wick	GB	0
974	Aberdeen	GB	0
975	Inverness	GB	0
976	Glasgow	GB	0
977	Edinburgh	GB	0
978	Islay	GB	0
979	Prestwick	GB	0
980	Benbecula	GB	0
981	Scatsta	GB	0
982	Dundee	GB	0
983	Stornoway	GB	0
984	Tiree	GB	0
985	Leuchars	GB	0
986	Lossiemouth	GB	0
987	Cambridge	GB	0
989	Norwich	GB	0
991	North Weald	GB	0
992	Fowlmere	GB	0
993	Cranfield	GB	0
994	Exeter	GB	0
996	Oxford	GB	0
997	Benson	GB	0
998	Lakenheath	GB	0
999	Mildenhall	GB	0
1000	Wattisham	GB	0
1001	Wyton	GB	0
1002	Fairford	GB	0
1003	Brize Norton	GB	0
1004	Odiham	GB	0
1005	Cosford	GB	0
1006	Northolt	GB	0
1007	Coningsby	GB	0
1008	Dishforth	GB	0
1009	Leeming	GB	0
1010	Church Fenton	GB	0
1011	Honington	GB	0
1012	Cottesmore	GB	0
1013	Scampton	GB	0
1014	Wittering	GB	0
1015	Linton-on-ouse	GB	0
1016	Waddington	GB	0
1017	Topcliffe	GB	0
1018	Cranwell	GB	0
1019	Barkston Heath	GB	0
1020	Marham	GB	0
1021	ST MARY\\'S	GB	0
1022	Nottingham	GB	0
1023	Doncaster. Sheffield	GB	0
1024	Campbeltown	GB	0
1025	Eday	GB	0
1026	Fair Isle	GB	0
1027	North Ronaldsay	GB	0
1028	Papa Westray	GB	0
1029	Stronsay	GB	0
1030	Sanday	GB	0
1031	Lerwick	GB	0
1032	Westray	GB	0
1033	Land's End	GB	0
1034	Penzance	GB	0
1035	Angelsey	GB	0
1036	Barra	GB	0
1037	Unst	GB	0
1038	North Connel	GB	0
1039	Isle Of Wight	GB	0
1040	Lympne	GB	0
1041	Colonsay	GB	0
1042	Tresco	GB	0
1044	Maidenhead	GB	0
1045	Wycombe	GB	0
1046	Bembridge	GB	0
1047	Shaftesbury	GB	0
1049	Forties Alpha	GB	-5
1050	Perth	GB	0
1051	Caernarfon	GB	0
1052	Duxford	GB	0
1053	Fairoaks	GB	0
1054	Rochester	GB	0
1055	Beccles	GB	0
1056	Brawdy	GB	0
1057	Redhill	GB	0
1058	Elstree	GB	0
1059	Sandtoft	GB	0
1060	Popham	GB	0
1062	Shrewsbury	GB	0
1063	Burton-on-Trent	GB	0
1064	York	GB	0
1066	Shobdon	GB	0
1067	Newtownards	GB	0
1068	Headcorn	GB	0
1069	Panshanger	GB	0
1070	Thurrock	GB	0
1071	Stapleford	GB	0
1072	Goodwood	GB	0
